country,country_isocode,year,pop,xrat,currency_unit,ppp,tcgdp,cgdp,cgdp2,cda2,cc,cg,ci,p,p2,pc,pg,pi,openc,cgnp,y,y2,rgdpl,rgdpl2,rgdpch,kc,kg,ki,openk,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,serialid
Pakistan,PAK,1951,40382.206,3.309625116,Pakistan Rupee,2.8518837117,5308.5868509,131.45856497,134.7011152,137.04554829,89.928670938,5.3912540121,6.4205454892,86.169388124,84.450938122,87.750091169,79.633572266,69.616326801,20.664844288,,5.9947070349,6.1425721718,724.24792455,713.58125784,713.07797225,106.07790415,7.2244386407,7.0170519719,38.782399076,879.12906852,2044.7829061,2046.2261,,,,856.89206459,7743
Pakistan,PAK,1952,41346.56,3.310625249,Pakistan Rupee,2.7768569525,5255.2201245,127.10174981,130.28063909,129.90227121,86.725707096,5.182699272,7.8011683789,83.877115157,82.295900701,85.621999971,80.584140828,66.649128819,17.852172389,,5.581893185,5.7214996062,722.4360094,714.47229282,712.83849283,97.570483725,6.882455557,8.2234708099,41.058250622,880.24796299,2074.59595,2079.3508487,,,,816.33346289,7744
Pakistan,PAK,1953,42342.412,3.308624987,Pakistan Rupee,2.6488650547,5500.2599146,129.89954173,133.32893606,131.65237228,84.933870035,5.1891388092,8.6195268519,80.059392197,78.529079376,82.003229337,75.479393919,63.583543521,15.943272248,,5.5084928605,5.6539190407,767.62735671,761.29840875,758.6499105,90.639008537,6.4420646038,8.8575055836,31.356794635,938.32802337,2237.0249347,2244.8345404,,,,823.37254561,7745
Pakistan,PAK,1954,43372.063,3.309625119,Pakistan Rupee,2.4972860409,5667.9519205,130.68209185,134.06599146,135.07101235,86.813533647,5.3893747158,8.5467380489,75.455254028,73.980882782,77.282930669,67.62866712,61.864590704,14.478381052,,5.6504454462,5.7967588385,743.68209329,737.55422176,734.82528117,94.887477986,6.4916292544,9.1713146343,29.467789789,910.32796426,2196.9899237,2205.1489448,,,,816.14713012,7746
Pakistan,PAK,1955,44434.445,3.91473904,Pakistan Rupee,2.6876821124,5648.1237369,127.11138255,130.69684689,130.81405269,85.251978686,5.4660048771,9.3716940399,68.655460427,67.281296498,70.656558463,60.121456181,55.434403771,17.372380633,,5.1141641231,5.2584207012,729.00438638,724.39260057,720.72003617,90.930720007,6.2877071209,9.7845829454,28.340323632,894.2975491,2185.2072009,2196.3423349,,,,779.36922092,7747
Pakistan,PAK,1956,45535.711,4.763899199,Pakistan Rupee,2.9521525846,6099.5478404,133.9508642,138.29972465,141.61397673,88.163105732,5.7163056406,8.5170157284,61.969249586,60.594960575,63.935073178,53.744161221,47.307431945,19.074330161,,5.218574514,5.3880012097,750.83448739,743.79990328,741.81255979,94.128971489,6.5696782546,8.5750689132,30.121376381,922.42036693,2286.5141305,2292.639787,,,,801.59721063,7748
Pakistan,PAK,1957,46679.944,4.762899071,Pakistan Rupee,2.9860545247,6390.2356263,136.89467207,141.15160532,143.80637679,85.776377153,5.7538544963,10.350562736,62.694054193,61.471795762,64.957020483,54.926876262,48.383584126,16.343990957,,5.1590369702,5.3194645141,739.44799335,734.84313508,731.3312517,92.044757292,6.6727651122,10.406673334,26.645229776,911.31819261,2288.4624612,2299.451754,,,,792.216248,7749
Pakistan,PAK,1958,47868.932,4.761899943,Pakistan Rupee,2.8445174824,6609.5476948,138.07593816,142.25453144,142.72143062,83.905198527,5.7222473397,10.70076806,59.734927579,58.62645338,62.03155742,50.719215265,46.568532284,14.989954839,,5.1961885102,5.3534408066,738.43307935,735.08305815,730.99185663,88.393502582,6.3544147038,10.759908688,24.603051994,912.83358711,2321.8296533,2334.824426,,,,776.58508031,7750
Pakistan,PAK,1959,49104.112,4.762899076,Pakistan Rupee,2.9128393073,7286.3627102,148.38599892,152.22361417,157.59346654,86.556928097,5.5130829524,11.457596933,61.156855537,60.18717931,63.156665505,56.785857314,48.333106108,18.837519148,,5.2580871635,5.3940738175,744.26947762,741.85585216,736.48870733,95.481393249,6.3022514748,11.852412363,35.503264122,921.65905804,2371.2071167,2388.4872351,,,,817.28029757,7751
Pakistan,PAK,1960,50386.898,4.761899948,Pakistan Rupee,2.9874774241,7486.1768416,148.57387811,152.89167777,158.49465947,77.367304564,7.7961861841,18.501183342,62.737089328,62.29997125,66.971649551,59.759357386,46.55604769,19.329022351,102.59022749,5.1469113364,5.2964889896,732.44394978,736.3304299,727.72877186,86.038554301,8.6651421653,19.323363405,35.242676352,912.6428492,2384.7763236,2412.9640651,,2680.0088621,,805.44373942,7752
Pakistan,PAK,1961,51718.581,4.761899948,Pakistan Rupee,3.0177431414,8168.1691826,157.93490511,162.8246807,169.49004898,70.082308808,7.3160321363,26.695245023,63.372670034,63.594024023,69.959317559,60.519089365,47.198833811,18.922813488,102.60320215,5.3837973946,5.5504835433,776.1965418,794.57607535,775.75506749,77.274175973,7.879009676,28.429094197,33.670312714,974.58768384,2551.6907052,2613.5986357,,2893.1812367,,845.71575568,7753
Pakistan,PAK,1962,53100.671,4.761899948,Pakistan Rupee,3.0281902685,8626.077158,162.44761122,167.14436381,173.15882854,67.679082715,7.6943236977,28.224958855,63.592059926,64.045064098,70.889803134,59.212514587,47.580919893,22.657091701,102.61412078,5.2319370019,5.3832049305,789.39947096,809.79429274,789.48616673,74.812652156,8.2064402238,29.960254151,32.809163466,993.5898816,2606.6297365,2673.6806456,,2955.5999598,,859.65808325,7754
Pakistan,PAK,1963,54524.471,4.761899948,Pakistan Rupee,2.9504410918,9431.6278197,172.97972171,176.1894778,184.43512043,66.524717099,7.6795618606,30.47570689,61.959325564,62.441459279,68.174209496,57.96933804,49.650399443,22.377583295,102.46593526,5.3562907428,5.4556803514,847.14363507,871.81975641,847.88413986,72.238530169,8.100201155,31.578957387,36.925587341,1068.9732547,2810.0166538,2889.3429178,,3192.8964868,,904.32014936,7755
Pakistan,PAK,1964,55988.385,4.761899948,Pakistan Rupee,3.0127482966,10429.481047,186.27936932,190.18249937,199.8481778,64.790334554,9.0758373836,31.216145551,63.267778187,64.120544521,71.193731819,58.158278151,48.660274837,21.682225565,102.46397914,5.4364460049,5.5503563957,892.43951767,916.93375834,893.79213105,70.930974354,9.4955705353,32.342193468,35.303493009,1128.8491403,2973.395424,3050.3811193,,3371.0668738,,955.82054546,7756
Pakistan,PAK,1965,57494.94,4.761899948,Pakistan Rupee,3.0385118117,12253.000667,213.11441784,218.61823923,224.09455062,62.656000964,7.6938130993,32.155151396,63.808812551,64.697147913,72.390886831,59.721404005,48.263557367,18.280438309,102.30525276,5.8001522026,5.9499449858,969.56026581,1004.1038921,971.79962773,70.641851375,8.1508328979,35.314566776,34.418230005,1229.5509346,3245.210519,3353.086809,,3705.7717934,,1077.8921659,7757
Pakistan,PAK,1966,59046.203,4.761899948,Pakistan Rupee,3.1590292234,12276.794359,207.91843904,213.24667571,221.184525,68.685754115,10.134778921,24.901845877,66.339680756,66.615293859,73.489243745,56.753240545,50.817289945,20.135395365,102.90965644,5.2266288111,5.3605693862,953.67513357,967.98483406,955.20585841,74.579978422,10.264027427,26.350111565,33.454994518,1208.862608,3201.985947,3244.8228916,,3585.0713053,,1021.4675909,7758
Pakistan,PAK,1967,60641.899,4.761899948,Pakistan Rupee,3.3690701985,13776.706012,227.18130929,233.98253117,240.84184258,68.688918199,8.6797900067,25.562840306,70.750545692,71.025065726,78.706344317,61.330530944,52.846693677,17.758302721,102.46475896,5.480397994,5.6444669612,992.43093058,1012.1274588,993.24491831,76.296676709,8.9797652867,27.584103784,34.697536887,1257.3220091,3342.269258,3405.8090087,,3759.5655982,,1087.1390049,7759
Pakistan,PAK,1968,62282.496,4.761899948,Pakistan Rupee,3.2219014431,15623.048014,250.84171344,256.9330768,259.76473607,66.749716174,7.986695721,26.36568804,67.659998704,67.809590751,74.420436546,58.91038742,53.270191535,15.951364186,101.19402531,5.5998770579,5.7358627576,1039.2635048,1064.2888367,1040.0295383,75.435309456,8.2617416353,29.051716861,34.417819915,1316.8795913,3513.1750081,3595.121874,,3961.9618953,,1158.6104009,7760
Pakistan,PAK,1969,63969.987,4.761899948,Pakistan Rupee,3.3620925123,15829.531314,247.45247039,254.73992345,257.26085359,70.077167103,8.442453663,22.4699886,70.604014134,70.507358328,77.594299422,57.279303043,53.896977359,15.166559777,102.03113693,5.1477980828,5.2994002747,1021.0684466,1035.9406684,1021.0850956,75.880643296,8.2975819531,23.616291439,31.213330274,1293.2205141,3462.5138135,3512.889268,,3861.7707189,,1089.6242698,7761
Pakistan,PAK,1970,65705.964,4.7619000038,Pakistan Rupee,3.1019633672,20047.937467,305.11594756,311.30315237,318.07105092,72.904282765,7.3192606247,21.950510583,65.141295802,64.753156001,68.826296202,61.629025806,54.165048794,14.815622957,101.1497684,6.1038668566,6.2276423415,1148.8489398,1166.0135657,1148.1653147,80.802895448,8.3079948371,24.132787272,36.717055179,1454.5389457,3908.5525609,3969.3110828,,4349.243396,,1273.075407,7762
Pakistan,PAK,1971,67491.369,4.761899999,Pakistan Rupee,3.1134624441,21313.594921,315.79734175,322.3562112,326.08104869,72.811797749,7.9212143773,20.422491433,65.382776723,64.958441315,68.77250563,65.842159721,53.171606705,12.992894037,101.55683422,5.8894289884,6.0117479276,1150.099874,1162.2580671,1149.1305796,79.484090789,8.7088476719,22.047729493,29.857427806,1455.7617795,3916.3764619,3961.1165326,,4320.4329542,,1253.3194824,7763
Pakistan,PAK,1972,69325.921,8.6813825826,Pakistan Rupee,3.4666604635,23523.33295,339.31511635,346.86738499,345.12649988,72.662692015,7.1269193191,19.708500858,39.932124065,39.716447031,42.040709416,43.365518269,30.899451918,23.914496744,100.57160756,5.812052037,5.9414131418,1199.7411925,1212.3257211,1198.7315454,78.35055017,7.7955616768,20.747848268,30.330031281,1518.5981461,4090.1674188,4136.551828,,4489.5474993,,1288.9730919,7764
Pakistan,PAK,1973,71121.085,9.9942499999,Pakistan Rupee,4.1284806396,26109.135326,367.10822573,375.80881944,386.6181179,76.360977354,6.3499576272,20.165340907,41.308558818,41.089876515,43.796185065,42.11001129,31.743895027,25.115234511,102.75597037,5.6791894442,5.813788226,1214.8794457,1229.8396483,1213.8502281,83.277044006,7.0653596944,21.141387898,31.863663418,1537.7510611,4146.5694286,4201.1900392,,4530.797016,,1316.1328886,7765
Pakistan,PAK,1974,72911.78,9.9,Pakistan Rupee,4.7135207582,29229.022347,400.88202959,405.74341658,434.76820876,79.507273421,6.9587246195,20.687486401,47.611320789,47.216637699,48.549808804,48.493177352,43.769355056,26.039319756,103.08452068,5.7672536532,5.8371915648,1208.0370605,1222.4273771,1206.8528861,86.234911796,7.6729353355,21.869739893,32.760401451,1528.8865655,4127.4654291,4180.7305568,,4477.0757589,,1305.6859993,7766
Pakistan,PAK,1975,74711.541,9.9,Pakistan Rupee,4.7363729744,34077.625305,456.1226398,463.97093192,492.01567353,74.066663198,8.4750168244,23.502823993,47.842151257,47.430930397,49.72508558,43.340028973,43.635862145,23.292296154,100.83284124,6.0658974683,6.1702705715,1238.7532956,1255.8236431,1238.1558266,81.990145991,9.5305799703,25.118373286,33.858299888,1568.5423062,4239.4574328,4299.9522059,,4570.9634537,,1362.3942104,7767
Pakistan,PAK,1976,76456.121,9.9,Pakistan Rupee,4.9053602409,37950.485202,496.36948233,506.34324959,540.20292941,73.310206715,8.2769650068,25.099928354,49.549093343,49.159578739,52.136309994,43.918613496,44.008622921,21.795748247,101.71978905,5.9799933739,6.1001519739,1262.8460352,1283.8680736,1262.8463021,81.837330677,9.5162180547,26.750105895,32.290747543,1600.2275349,4329.0432267,4401.105961,,4639.3366138,,1397.3262394,7768
Pakistan,PAK,1977,78152.686,9.9,Pakistan Rupee,5.0557213833,43324.219518,554.35355757,566.14508434,606.50484923,75.976152204,8.2438858405,22.908835104,51.06789276,50.555612881,53.362078992,44.176466977,46.11446713,22.388120975,104.52360626,6.0611762481,6.1901021312,1318.0655666,1335.9106113,1316.8960067,84.640642721,9.362185646,24.913640643,33.907740417,1669.1411415,4519.5994767,4584.8577785,,4788.6442849,,1462.7490512,7769
Pakistan,PAK,1978,80051.3,9.9,Pakistan Rupee,4.963391042,48981.494511,611.8763157,623.16686728,675.94134659,78.386258498,8.150381513,21.932115644,50.135263051,49.63588189,51.852341557,42.050997392,47.163450877,26.246369985,107.72252652,5.9815753758,6.0919494555,1306.8868446,1322.0974695,1305.1862216,90.928268001,9.5806806248,24.462556432,40.323397059,1654.7196671,4484.6503189,4542.7577613,,4713.1183497,,1505.8921488,7770
Pakistan,PAK,1979,82374.302,9.9,Pakistan Rupee,5.1415288712,56922.548921,691.02314119,701.05636923,760.16374269,79.501858132,7.9141249733,21.015203894,51.934635063,51.418917611,52.650188337,43.120484777,52.639593253,28.613441643,108.14673097,6.1119360597,6.2006775861,1383.3837981,1397.2375123,1381.1063834,90.333157785,9.1885511491,22.978163804,40.362349731,1751.4166578,4751.0704228,4806.562259,,4821.8864487,,1563.6643013,7771
Pakistan,PAK,1980,85219.117,9.9,Pakistan Rupee,5.2183094636,66066.598321,775.25560751,790.08462634,849.31899187,78.227645196,8.4939496841,20.775622955,52.710196602,52.170928534,54.500757517,42.651380292,50.246074822,28.272427734,108.06897352,6.3760416562,6.4980020018,1453.3521976,1464.7372771,1450.7319754,86.338569856,9.4753762922,21.856609342,36.469932736,1840.1784904,4996.4361789,5044.6715507,,5072.7919095,,1591.3175264,7772
Pakistan,PAK,1981,88417.079,9.9,Pakistan Rupee,5.277373713,76313.372747,863.10669398,883.92489297,959.86695219,77.521382638,8.7972869018,22.272791095,53.306805182,52.773443247,56.013037056,42.2656221,48.533955953,25.111544281,108.15683922,6.3918268298,6.5459981782,1505.2816184,1520.6560981,1503.6863706,84.016048558,9.5872233375,23.24489973,33.295502174,1907.8335476,5157.1338031,5215.3342078,,5301.0421152,,1619.2973946,7773
Pakistan,PAK,1982,91465.209,11.847466666,Pakistan Rupee,5.2820771942,85373.134191,933.39462211,957.84434578,1035.4855618,76.16626053,9.7071609036,22.23240666,44.584022418,44.167875215,47.21089456,35.510677459,39.816307544,27.925995672,107.81992756,6.7109331922,6.8867221439,1542.1402584,1554.5797443,1540.4856049,82.64267835,10.659846421,23.315754348,35.950949154,1955.020617,5275.4356562,5323.7014273,,5437.4746163,,1663.0464162,7774
